divisions,rebalancePeriod,safe_buy,safe_sell,aggr_buy,aggr_sell,bull_buy,bull_sell,bull_hold,ret2023,ret2024,ret1yr,avg,min,mdd2023,mdd2024,mdd1yr,sl2023,sl2024,sl1yr
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.25,45,-27.40,-1.10,10.09,-6.14,-27.40,62.78,58.57,58.15,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.25,60,-27.40,-1.10,10.09,-6.14,-27.40,62.78,58.57,58.15,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.25,90,-27.40,-1.10,10.09,-6.14,-27.40,62.78,58.57,58.15,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.25,120,-27.40,-1.10,10.09,-6.14,-27.40,62.78,58.57,58.15,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.3,30,-27.40,-2.80,5.87,-8.11,-27.40,62.78,58.30,57.79,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.3,45,-27.40,-1.10,5.87,-7.54,-27.40,62.78,58.57,57.79,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.3,60,-27.40,-1.10,5.87,-7.54,-27.40,62.78,58.57,57.79,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.3,90,-27.40,-1.10,5.87,-7.54,-27.40,62.78,58.57,57.79,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.3,120,-27.40,-1.10,5.87,-7.54,-27.40,62.78,58.57,57.79,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.08,30,-22.04,-0.21,12.15,-3.37,-22.04,60.04,58.25,54.61,10,7,5
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.08,45,-22.04,1.47,12.15,-2.81,-22.04,60.04,58.35,54.61,10,7,5
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.08,60,-22.04,1.47,12.15,-2.81,-22.04,60.04,58.35,54.61,10,7,5
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.08,90,-22.04,1.47,12.15,-2.81,-22.04,60.04,58.35,54.61,10,7,5
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.08,120,-22.04,1.47,12.15,-2.81,-22.04,60.04,58.35,54.61,10,7,5
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.1,30,-21.61,0.44,9.36,-3.94,-21.61,59.73,58.58,58.22,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.1,45,-21.61,2.32,9.36,-3.31,-21.61,59.73,58.43,58.22,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.1,60,-21.61,2.32,9.36,-3.31,-21.61,59.73,58.43,58.22,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.1,90,-21.61,2.32,9.36,-3.31,-21.61,59.73,58.43,58.22,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.1,120,-21.61,2.32,9.36,-3.31,-21.61,59.73,58.43,58.22,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.15,30,-22.09,-0.38,8.59,-4.63,-22.09,60.05,58.31,58.29,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.15,45,-22.09,1.31,8.59,-4.06,-22.09,60.05,58.61,58.29,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.15,60,-22.09,1.31,8.59,-4.06,-22.09,60.05,58.61,58.29,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.15,90,-22.09,1.31,8.59,-4.06,-22.09,60.05,58.61,58.29,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.15,120,-22.09,1.31,8.59,-4.06,-22.09,60.05,58.61,58.29,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.2,30,-24.43,-2.80,7.60,-6.54,-24.43,61.19,58.30,58.19,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.2,45,-24.43,-1.10,7.60,-5.98,-24.43,61.19,58.57,58.19,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.2,60,-24.43,-1.10,7.60,-5.98,-24.43,61.19,58.57,58.19,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.2,90,-24.43,-1.10,7.60,-5.98,-24.43,61.19,58.57,58.19,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.2,120,-24.43,-1.10,7.60,-5.98,-24.43,61.19,58.57,58.19,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.25,30,-24.43,-2.80,9.94,-5.76,-24.43,61.19,58.30,58.20,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.25,45,-24.43,-1.10,9.94,-5.20,-24.43,61.19,58.57,58.20,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.25,60,-24.43,-1.10,9.94,-5.20,-24.43,61.19,58.57,58.20,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.25,90,-24.43,-1.10,9.94,-5.20,-24.43,61.19,58.57,58.20,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.25,120,-24.43,-1.10,9.94,-5.20,-24.43,61.19,58.57,58.20,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.3,30,-24.43,-2.80,5.60,-7.21,-24.43,61.19,58.30,57.61,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.3,45,-24.43,-1.10,5.60,-6.65,-24.43,61.19,58.57,57.61,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.3,60,-24.43,-1.10,5.60,-6.65,-24.43,61.19,58.57,57.61,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.3,90,-24.43,-1.10,5.60,-6.65,-24.43,61.19,58.57,57.61,10,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.03,0.3,120,-24.43,-1.10,5.60,-6.65,-24.43,61.19,58.57,57.61,10,7,6
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.08,30,-23.53,-2.06,18.52,-2.35,-23.53,60.84,58.46,51.85,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.08,45,-23.53,-0.30,18.52,-1.77,-23.53,60.84,58.31,51.85,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.08,60,-23.53,-0.30,18.52,-1.77,-23.53,60.84,58.31,51.85,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.08,90,-23.53,-0.30,18.52,-1.77,-23.53,60.84,58.31,51.85,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.08,120,-23.53,-0.30,18.52,-1.77,-23.53,60.84,58.31,51.85,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.1,30,-22.76,-1.45,17.23,-2.33,-22.76,60.65,58.53,58.21,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.1,45,-22.76,0.40,17.23,-1.71,-22.76,60.65,58.51,58.21,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.1,60,-22.76,0.40,17.23,-1.71,-22.76,60.65,58.51,58.21,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.1,90,-22.76,0.40,17.23,-1.71,-22.76,60.65,58.51,58.21,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.1,120,-22.76,0.40,17.23,-1.71,-22.76,60.65,58.51,58.21,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.15,30,-24.57,-2.12,17.62,-3.02,-24.57,61.34,58.26,58.18,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.15,45,-24.57,-0.51,17.62,-2.49,-24.57,61.34,58.36,58.18,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.15,60,-24.57,-0.51,17.62,-2.49,-24.57,61.34,58.36,58.18,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.15,90,-24.57,-0.51,17.62,-2.49,-24.57,61.34,58.36,58.18,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.15,120,-24.57,-0.51,17.62,-2.49,-24.57,61.34,58.36,58.18,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.2,30,-26.87,-4.60,11.34,-6.71,-26.87,64.33,58.42,63.06,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.2,45,-26.87,-2.96,11.34,-6.16,-26.87,64.33,58.53,63.06,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.2,60,-26.87,-2.96,11.34,-6.16,-26.87,64.33,58.53,63.06,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.2,90,-26.87,-2.96,11.34,-6.16,-26.87,64.33,58.53,63.06,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.2,120,-26.87,-2.96,11.34,-6.16,-26.87,64.33,58.53,63.06,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.25,30,-26.87,-4.60,14.64,-5.61,-26.87,64.33,58.42,62.93,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.25,45,-26.87,-2.96,14.64,-5.07,-26.87,64.33,58.53,62.93,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.25,60,-26.87,-2.96,14.64,-5.07,-26.87,64.33,58.53,62.93,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.25,90,-26.87,-2.96,14.64,-5.07,-26.87,64.33,58.53,62.93,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.25,120,-26.87,-2.96,14.64,-5.07,-26.87,64.33,58.53,62.93,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.3,30,-26.87,-4.60,11.06,-6.80,-26.87,64.33,58.42,58.33,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.3,45,-26.87,-2.96,11.06,-6.26,-26.87,64.33,58.53,58.33,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.3,60,-26.87,-2.96,11.06,-6.26,-26.87,64.33,58.53,58.33,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.3,90,-26.87,-2.96,11.06,-6.26,-26.87,64.33,58.53,58.33,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.01,0.3,120,-26.87,-2.96,11.06,-6.26,-26.87,64.33,58.53,58.33,11,8,7
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.08,30,-24.66,-2.16,17.00,-3.27,-24.66,61.40,58.25,53.39,11,8,5
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.08,45,-24.66,-0.49,17.00,-2.72,-24.66,61.40,58.35,53.39,11,8,5
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.08,60,-24.66,-0.49,17.00,-2.72,-24.66,61.40,58.35,53.39,11,8,5
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.08,90,-24.66,-0.49,17.00,-2.72,-24.66,61.40,58.35,53.39,11,8,5
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.08,120,-24.66,-0.49,17.00,-2.72,-24.66,61.40,58.35,53.39,11,8,5
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.1,30,-24.28,-1.57,14.89,-3.66,-24.28,61.12,58.58,58.20,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.1,45,-24.28,0.23,14.89,-3.06,-24.28,61.12,58.43,58.20,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.1,60,-24.28,0.23,14.89,-3.06,-24.28,61.12,58.43,58.20,11,8,6
5,5,-0.02,0.008,-0.03,0.06,-0.02,0.1,90,-24.28,0.23,14.89,-3.06,-24.28,61.12,58.43,58.20,11,8,6
