divisions,rebalancePeriod,safe_buy,safe_sell,safe_hold,aggr_buy,aggr_sell,bull_buy,bull_sell,bull_hold,ret2011,ret2012,ret2018,ret2022,ret2024,avg,min,mdd2011,mdd2012,mdd2018,mdd2022,mdd2024,sl2011,sl2012,sl2018,sl2022,sl2024
5,5,-0.02,0.008,20,-0.03,0.1,-0.03,0.1,45,-39.64,-16.82,-21.64,-56.77,-4.73,-27.92,-56.77,68.14,56.99,66.20,75.09,58.85,19,22,21,22,10
5,5,-0.02,0.008,20,-0.03,0.1,-0.03,0.12,45,-39.64,-16.82,-21.64,-56.77,-4.34,-27.84,-56.77,68.14,56.99,66.20,75.09,58.73,19,22,21,22,10
5,5,-0.02,0.008,20,-0.03,0.1,-0.03,0.15,45,-39.64,-16.82,-21.64,-56.77,-3.80,-27.74,-56.77,68.14,56.99,66.20,75.09,58.88,19,22,21,22,10
5,5,-0.02,0.008,20,-0.03,0.12,-0.01,0.08,45,-39.54,-29.54,-26.78,-58.20,-6.13,-32.04,-58.20,68.09,66.16,66.84,75.92,58.77,20,25,22,23,11
5,5,-0.02,0.008,20,-0.03,0.12,-0.01,0.1,45,-39.54,-31.65,-26.78,-58.20,-5.79,-32.39,-58.20,68.09,67.17,66.84,75.92,58.66,20,26,22,23,11
5,5,-0.02,0.008,20,-0.03,0.12,-0.01,0.12,45,-39.54,-31.65,-26.78,-58.20,-5.44,-32.32,-58.20,68.09,67.17,66.84,75.92,58.68,20,26,22,23,11
5,5,-0.02,0.008,20,-0.03,0.12,-0.01,0.15,45,-39.54,-31.65,-26.78,-58.20,-4.91,-32.21,-58.20,68.09,67.17,66.84,75.92,58.83,20,26,22,23,11
5,5,-0.02,0.008,20,-0.03,0.12,-0.02,0.08,45,-39.54,-11.90,-26.78,-58.20,-6.34,-28.55,-58.20,68.09,55.51,66.84,75.92,58.82,20,21,22,23,11
5,5,-0.02,0.008,20,-0.03,0.12,-0.02,0.1,45,-39.54,-14.95,-26.78,-58.20,-5.91,-29.08,-58.20,68.09,56.99,66.84,75.92,58.85,20,22,22,23,11
5,5,-0.02,0.008,20,-0.03,0.12,-0.02,0.12,45,-39.54,-14.95,-26.78,-58.20,-5.56,-29.01,-58.20,68.09,56.99,66.84,75.92,58.73,20,22,22,23,11
5,5,-0.02,0.008,20,-0.03,0.12,-0.02,0.15,45,-39.54,-14.95,-26.78,-58.20,-5.10,-28.91,-58.20,68.09,56.99,66.84,75.92,58.88,20,22,22,23,11
5,5,-0.02,0.008,20,-0.03,0.12,-0.03,0.08,45,-39.54,-11.90,-21.33,-58.20,-6.34,-27.46,-58.20,68.09,55.51,66.06,75.92,58.82,20,21,21,23,11
5,5,-0.02,0.008,20,-0.03,0.12,-0.03,0.1,45,-39.54,-14.95,-21.33,-58.20,-5.91,-27.99,-58.20,68.09,56.99,66.06,75.92,58.85,20,22,21,23,11
5,5,-0.02,0.008,20,-0.03,0.12,-0.03,0.12,45,-39.54,-14.95,-21.33,-58.20,-5.56,-27.92,-58.20,68.09,56.99,66.06,75.92,58.73,20,22,21,23,11
5,5,-0.02,0.008,20,-0.03,0.12,-0.03,0.15,45,-39.54,-14.95,-21.33,-58.20,-5.10,-27.82,-58.20,68.09,56.99,66.06,75.92,58.88,20,22,21,23,11
5,5,-0.02,0.008,20,-0.05,0.05,-0.01,0.08,45,-32.68,-34.44,-25.70,-52.28,-3.06,-29.63,-52.28,68.45,66.18,66.58,72.53,58.47,15,21,16,20,6
